Ansari
45
8   11   
1:  20.000000000000      0.000013230663
2:  21.000000000000      0.000066153317
3:  22.000000000000      0.000185229287
4:  23.000000000000      0.000449842555
5:  24.000000000000      0.001005530417
6:  25.000000000000      0.002011060835
7:  26.000000000000      0.003770739065
8:  27.000000000000      0.006628562356
9:  28.000000000000      0.011087295917
10:  29.000000000000      0.017702627610
11:  30.000000000000      0.027202243921
12:  31.000000000000      0.040247678019
13:  32.000000000000      0.057685692361
14:  33.000000000000      0.080098436136
15:  34.000000000000      0.108187134503
16:  35.000000000000      0.142242862057
17:  36.000000000000      0.182636077373
18:  37.000000000000      0.228996321876
19:  38.000000000000      0.281085443624
20:  39.000000000000      0.337871450875
21:  40.000000000000      0.398520811834
22:  41.000000000000      0.461445846895
23:  42.000000000000      0.525442565690
24:  43.000000000000      0.588685136673
25:  44.000000000000      0.649956338811
26:  45.000000000000      0.707536185864
27:  46.000000000000      0.760630838030
28:  47.000000000000      0.808102458257
29:  48.000000000000      0.849726125268
30:  49.000000000000      0.885025535180
31:  50.000000000000      0.914371146569
32:  51.000000000000      0.937868804742
33:  52.000000000000      0.956325580165
34:  53.000000000000      0.970191315393
35:  54.000000000000      0.980418618190
36:  55.000000000000      0.987589637744
37:  56.000000000000      0.992511444524
38:  57.000000000000      0.995660342410
39:  58.000000000000      0.997658172581
40:  59.000000000000      0.998796009632
41:  60.000000000000      0.999444312138
42:  61.000000000000      0.999761848059
43:  62.000000000000      0.999920616020
44:  63.000000000000      0.999973538673
45:  64.000000000000      1.000000000000
